match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
India Vs South Africa,India,1,Yashasvi Jaiswal,c Miller b Jansen,0,3,0,0,0.00,2023
India Vs South Africa,India,2,Shubman Gill,lbw b Williams,0,2,0,0,0.00,2023
India Vs South Africa,India,3,Tilak Varma,c Jansen b Coetzee,29,20,4,1,145.00,2023
India Vs South Africa,India,4,Suryakumar Yadav(c),c Jansen b Shamsi,56,36,5,3,155.55,2023
India Vs South Africa,India,5,Rinku Singh,,68,39,9,2,174.35,2023
India Vs South Africa,India,6,Jitesh Sharmaâ€ ,c Stubbs b Markram,1,3,0,0,33.33,2023
India Vs South Africa,India,7,Ravindra Jadeja,lbw b Coetzee,19,14,1,1,135.71,2023
India Vs South Africa,India,8,Arshdeep Singh,c Phehlukwayo b Coetzee,0,1,0,0,0.00,2023
India Vs South Africa,South Africa,1,Reeza Hendricks,c Yadav b Kuldeep Yadav,49,27,8,1,181.48,2023
India Vs South Africa,South Africa,2,Matthew Breetzke,run out (Tilak Varma/Jadeja/â€ Sharma),16,7,1,1,228.57,2023
India Vs South Africa,South Africa,3,Aiden Markram(c),c Mohammed Siraj b Mukesh Kumar,30,17,4,1,176.47,2023
India Vs South Africa,South Africa,4,Heinrich Klaasenâ€ ,c Jaiswal b Mohammed Siraj,7,5,0,1,140.00,2023
India Vs South Africa,South Africa,5,David Miller,c Mohammed Siraj b Mukesh Kumar,17,12,1,1,141.66,2023
India Vs South Africa,South Africa,6,Tristan Stubbs,,14,12,2,0,116.66,2023
India Vs South Africa,South Africa,7,Andile Phehlukwayo,,10,4,0,1,250.00,2023
India Vs Australia,India,1,Yashasvi Jaiswal,c Ellis b Behrendorff,21,15,1,2,140.00,2023
India Vs Australia,India,2,Ruturaj Gaikwad,c Behrendorff b Dwarshuis,10,12,2,0,83.33,2023
India Vs Australia,India,3,Shreyas Iyer, b Ellis,53,37,5,2,143.24,2023
India Vs Australia,India,4,Suryakumar Yadav(c),c McDermott b Dwarshuis,5,7,0,0,71.42,2023
India Vs Australia,India,5,Rinku Singh,c David b Sangha,6,8,1,0,75.00,2023
India Vs Australia,India,6,Jitesh Sharmaâ€ ,c Short b Hardie,24,16,3,1,150.00,2023
India Vs Australia,India,7,Axar Patel,c Hardie b Behrendorff,31,21,2,1,147.61,2023
India Vs Australia,India,8,Ravi Bishnoi,run out (Philippe/â€ Wade),2,2,0,0,100.00,2023
India Vs Australia,India,9,Arshdeep Singh,,2,2,0,0,100.00,2023
India Vs Australia,Australia,1,Travis Head, b Ravi Bishnoi,28,18,5,1,155.55,2023
India Vs Australia,Australia,2,Josh Philippe, b Mukesh Kumar,4,4,1,0,100.00,2023
India Vs Australia,Australia,3,Ben McDermott,c Singh b Arshdeep Singh,54,36,0,5,150.00,2023
India Vs Australia,Australia,4,Aaron Hardie,c Iyer b Ravi Bishnoi,6,10,1,0,60.00,2023
India Vs Australia,Australia,5,Tim David,c Avesh Khan b Patel,17,17,0,1,100.00,2023
India Vs Australia,Australia,6,Matthew Short,c Gaikwad b Mukesh Kumar,16,11,2,0,145.45,2023
India Vs Australia,Australia,7,Matthew Wade(c)â€ ,c Iyer b Arshdeep Singh,22,15,4,0,146.66,2023
India Vs Australia,Australia,8,Ben Dwarshuis, b Mukesh Kumar,0,1,0,0,0.00,2023
India Vs Australia,Australia,9,Nathan Ellis,,4,6,0,0,66.66,2023
India Vs Australia,Australia,10,Jason Behrendorff,,2,2,0,0,100.00,2023
India Vs Australia,India,1,Yashasvi Jaiswal,c McDermott b Hardie,37,28,6,1,132.14,2023
India Vs Australia,India,2,Ruturaj Gaikwad,c Dwarshuis b Sangha,32,28,3,1,114.28,2023
India Vs Australia,India,3,Shreyas Iyer,c Green b Sangha,8,7,0,0,114.28,2023
India Vs Australia,India,4,Suryakumar Yadav(c),c â€ Wade b Dwarshuis,1,2,0,0,50.00,2023
India Vs Australia,India,5,Rinku Singh,lbw b Behrendorff,46,29,4,2,158.62,2023
India Vs Australia,India,6,Jitesh Sharmaâ€ ,c Head b Dwarshuis,35,19,1,3,184.21,2023
India Vs Australia,India,7,Axar Patel,c Sangha b Dwarshuis,0,1,0,0,0.00,2023
India Vs Australia,India,8,Deepak Chahar,c Green b Behrendorff,0,2,0,0,0.00,2023
India Vs Australia,India,9,Ravi Bishnoi,run out (Philippe/â€ Wade),4,3,0,0,133.33,2023
India Vs Australia,India,10,Avesh Khan,,1,1,0,0,100.00,2023
India Vs Australia,Australia,1,Travis Head,c Mukesh Kumar b Patel,31,16,5,1,193.75,2023
India Vs Australia,Australia,2,Josh Philippe, b Ravi Bishnoi,8,7,2,0,114.28,2023
India Vs Australia,Australia,3,Ben McDermott, b Patel,19,22,1,0,86.36,2023
India Vs Australia,Australia,4,Aaron Hardie, b Patel,8,9,1,0,88.88,2023
India Vs Australia,Australia,5,Tim David,c Jaiswal b Chahar,19,20,0,1,95.00,2023
India Vs Australia,Australia,6,Matthew Short,c Jaiswal b Chahar,22,19,2,1,115.78,2023
India Vs Australia,Australia,7,Matthew Wade(c)â€ ,,36,23,2,2,156.52,2023
India Vs Australia,Australia,8,Ben Dwarshuis, b Avesh Khan,1,2,0,0,50.00,2023
India Vs Australia,Australia,9,Chris Green,,2,3,0,0,66.66,2023
India Vs Australia,India,1,Yashasvi Jaiswal,c â€ Wade b Behrendorff,6,6,1,0,100.00,2023
India Vs Australia,India,2,Ruturaj Gaikwad,,123,57,13,7,215.78,2023
India Vs Australia,India,3,Ishan Kishanâ€ ,c Stoinis b Richardson,0,5,0,0,0.00,2023
India Vs Australia,India,4,Suryakumar Yadav(c),c â€ Wade b Hardie,39,29,5,2,134.48,2023
India Vs Australia,India,5,Tilak Varma,,31,24,4,0,129.16,2023
India Vs Australia,Australia,1,Travis Head,c Ravi Bishnoi b Avesh Khan,35,18,8,0,194.44,2023
India Vs Australia,Australia,2,Aaron Hardie,c â€ Ishan Kishan b Arshdeep Singh,16,12,3,0,133.33,2023
India Vs Australia,Australia,3,Josh Inglis, b Ravi Bishnoi,10,6,2,0,166.66,2023
India Vs Australia,Australia,4,Glenn Maxwell,,104,48,8,8,216.66,2023
India Vs Australia,Australia,5,Marcus Stoinis,c Yadav b Patel,17,21,2,0,80.95,2023
