match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Year
India Vs South Africa,South Africa,Marco Jansen,3,0,39,1,13.00,9,5,2,3,1,2023
India Vs South Africa,South Africa,Lizaad Williams,3,0,32,1,10.66,5,4,1,1,0,2023
India Vs South Africa,South Africa,Gerald Coetzee,3.3,0,32,3,9.14,10,3,2,1,0,2023
India Vs South Africa,South Africa,Andile Phehlukwayo,3,0,29,0,9.66,4,5,0,0,0,2023
India Vs South Africa,South Africa,Tabraiz Shamsi,4,0,18,1,4.50,10,1,0,0,0,2023
India Vs South Africa,South Africa,Aiden Markram,3,0,29,1,9.66,4,1,2,0,0,2023
India Vs South Africa,India,Mohammed Siraj,3,0,27,1,9.00,7,5,0,0,0,2023
India Vs South Africa,India,Arshdeep Singh,2,0,31,0,15.50,3,3,2,1,0,2023
India Vs South Africa,India,Ravindra Jadeja,2.5,0,28,0,9.88,2,2,1,1,0,2023
India Vs South Africa,India,Mukesh Kumar,3,0,34,2,11.33,6,3,2,0,1,2023
India Vs South Africa,India,Kuldeep Yadav,3,0,26,1,8.66,7,3,1,0,0,2023
India Vs Australia,Australia,Aaron Hardie,4,0,21,1,5.25,14,2,1,0,0,2023
India Vs Australia,Australia,Jason Behrendorff,4,0,38,2,9.50,7,3,2,0,0,2023
India Vs Australia,Australia,Ben Dwarshuis,4,0,30,2,7.50,10,3,1,1,0,2023
India Vs Australia,Australia,Nathan Ellis,4,0,42,1,10.50,8,5,1,2,0,2023
India Vs Australia,Australia,Tanveer Sangha,4,0,26,1,6.50,9,1,1,0,0,2023
India Vs Australia,India,Arshdeep Singh,4,0,40,2,10.00,8,4,2,1,0,2023
India Vs Australia,India,Avesh Khan,4,0,39,0,9.75,8,5,1,0,0,2023
India Vs Australia,India,Mukesh Kumar,4,0,32,3,8.00,11,3,2,0,0,2023
India Vs Australia,India,Ravi Bishnoi,4,0,29,2,7.25,8,1,2,0,0,2023
India Vs Australia,India,Axar Patel,4,0,14,1,3.50,11,0,0,0,0,2023
India Vs Australia,Australia,Aaron Hardie,3,1,20,1,6.66,10,2,1,1,0,2023
India Vs Australia,Australia,Jason Behrendorff,4,0,32,2,8.00,9,4,0,1,0,2023
India Vs Australia,Australia,Ben Dwarshuis,4,0,40,3,10.00,9,6,1,1,0,2023
India Vs Australia,Australia,Chris Green,4,0,36,0,9.00,7,1,3,0,0,2023
India Vs Australia,Australia,Tanveer Sangha,4,0,30,2,7.50,8,1,1,1,0,2023
India Vs Australia,Australia,Matthew Short,1,0,10,0,10.00,1,0,1,0,0,2023
India Vs Australia,India,Deepak Chahar,4,0,44,2,11.00,7,5,2,0,0,2023
